sondado_em,repo_url,status,detalhe,tentativas,duracao_segundos
2026-09-10T13:24:49Z,https://github.com/3rd-Eden/useragent.git,ACESSIVEL,HEAD=4c3ee79358bea72d88fe78ac98f4f861db40b89b,1,1
2026-09-10T13:24:49Z,https://github.com/Atinux/schema-inspector.git,ACESSIVEL,HEAD=bca22fb7ae0deda378216c4ef4e27ec453e1f293,1,1
2026-09-10T13:24:49Z,https://github.com/C2FO/fast-csv.git,ACESSIVEL,HEAD=ff6633749f36b854176bc526fa2230d654b387ed,1,2
2026-09-10T13:24:49Z,https://github.com/ChristoPy/serve-here.js.git,ACESSIVEL,HEAD=cefb51d03290b6a88dd13143ab2de31b8cf57c39,1,1
2026-09-10T13:24:49Z,https://github.com/Eeems/PooledWebSocket.git,ACESSIVEL,HEAD=7414029c8b99b45999e7b407b012e58d41cf5da3,1,1
2026-09-10T13:24:49Z,https://github.com/GoogleChrome/rendertron.git,ACESSIVEL,HEAD=ffc2b331ff751c1f9e84cd6e6d485b802442fdf2,1,1
2026-09-10T13:24:49Z,https://github.com/Graylog2/graylog2-server.git,ACESSIVEL,HEAD=00bfe90d2f2e5c3f5b649771ac052d147d568c5e,1,7
2026-09-10T13:24:49Z,https://github.com/JasonEtco/flintcms.git,ACESSIVEL,HEAD=f5a1443121d76b82d8875072b2d4759d6ea7241b,1,1
2026-09-10T13:24:49Z,https://github.com/Khan/simple-markdown.git,ACESSIVEL,HEAD=7fb8bb5943ee4e561fec17c2e271a327f4e86d64,1,9
2026-09-10T13:24:49Z,https://github.com/KoryNunn/list-n-stream.git,ACESSIVEL,HEAD=c55814549512f000842629ba585a663a9306ed59,1,3
2026-09-10T13:24:49Z,https://github.com/KyleRoss/windows-cpu.git,ACESSIVEL,HEAD=4246e027c81a51b46985a6488ac967719fe83c05,1,4
2026-09-10T13:24:49Z,https://github.com/LLK/scratch-svg-renderer.git,ACESSIVEL,HEAD=71ce3ffe769b31fb0177366a2424960c95fa01e3,1,7
2026-09-10T13:24:49Z,https://github.com/LLK/scratch-vm.git,ACESSIVEL,HEAD=b3266a0cfe5122f20b72ccd738a3dd4dff4fc5a5,1,8
2026-09-10T13:24:49Z,https://github.com/NUKnightLab/TimelineJS3.git,ACESSIVEL,HEAD=63875cb78c039f6907c66bac9f034bdeb5a68592,1,5
2026-09-10T13:24:49Z,https://github.com/NetEase/pomelo.git,ACESSIVEL,HEAD=e1615c1305170241efd197c085b7324570dced1f,1,4
2026-09-10T13:24:49Z,https://github.com/Neztore/save-server.git,ACESSIVEL,HEAD=c69ce93c5c51e4aa661cf372cfdb50ad5241e357,1,4
2026-09-10T13:24:49Z,https://github.com/PrismJS/prism.git,ACESSIVEL,HEAD=36ad7f8bbb807d02b6b6c2837fe2a312fc473be6,1,4
2026-09-10T13:24:49Z,https://github.com/Rich-Harris/devalue.git,ACESSIVEL,HEAD=a3d30d94c8fd9cfca4b774814ff9d5bfade5010c,1,2
2026-09-10T13:24:49Z,https://github.com/SLMNBJ/selectize-plugin-a11y.git,ACESSIVEL,HEAD=927d81e9ea86acac1724d57b2ce9f3c962fd34c4,1,2
2026-09-10T13:24:49Z,https://github.com/TooTallNate/node-https-proxy-agent.git,ACESSIVEL,HEAD=4813885d3f4e2ff837878ceffdba656a71dc31f0,1,1
2026-09-10T13:24:49Z,https://github.com/Trott/node-slug.git,ACESSIVEL,HEAD=5ba62f2f61b7064f6b02bd865029d7efcd5a2aaf,1,1
2026-09-10T13:24:49Z,https://github.com/UmbraEngineering/ps.git,ACESSIVEL,HEAD=93ec05b2e61d87985e0b829ea241372add45d5f3,1,1
2026-09-10T13:24:49Z,https://github.com/ZJONSSON/node-unzipper.git,ACESSIVEL,HEAD=431c45c5bcf0e95a8a3f56ca7da8f46daffb8ac2,1,1
2026-09-10T13:24:49Z,https://github.com/actions/http-client.git,ACESSIVEL,HEAD=602cbafdf5b9de6e5a68995f6d8ccf4f318c5fde,1,1
